Year,Host,Stage,Stadium,City,Attendance,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Half-time Home Goals,Half-time Away Goals,Home Team Initials,Away Team Initials
2010,South Africa,Group A,Free State Stadium,Mangaung/Bloemfontein ,39415,France,1,2,South Africa, ,0,2,FRA,RSA
2010,South Africa,Quarter-finals,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth ,40186,Netherlands,2,1,Brazil, ,0,1,NED,BRA
2010,South Africa,Round of 16,Free State Stadium,Mangaung/Bloemfontein ,40510,Germany,4,1,England, ,2,1,GER,ENG
2010,South Africa,Group H,Loftus Versfeld Stadium,Tshwane/Pretoria ,41958,Chile,1,2,Spain, ,0,2,CHI,ESP
2010,South Africa,Group A,Loftus Versfeld Stadium,Tshwane/Pretoria ,42658,South Africa,0,3,Uruguay, ,0,1,RSA,URU
2010,South Africa,Group C,Ellis Park Stadium,Johannesburg ,45573,Slovenia,2,2,USA, ,2,0,SVN,USA
2010,South Africa,Group F,Ellis Park Stadium,Johannesburg ,53412,Slovakia,3,2,Italy, ,1,0,SVK,ITA
2010,South Africa,Round of 16,Ellis Park Stadium,Johannesburg ,54096,Brazil,3,0,Chile, ,2,0,BRA,CHI
2010,South Africa,Group G,Ellis Park Stadium,Johannesburg ,54331,Brazil,2,1,Korea DPR, ,0,0,BRA,PRK
2010,South Africa,Group H,Ellis Park Stadium,Johannesburg ,54386,Spain,2,0,Honduras, ,1,0,ESP,HON
2010,South Africa,Quarter-finals,Ellis Park Stadium,Johannesburg ,55359,Paraguay,0,1,Spain, ,0,0,PAR,ESP
2010,South Africa,Group B,Ellis Park Stadium,Johannesburg ,55686,Argentina,1,0,Nigeria, ,1,0,ARG,NGA
2010,South Africa,Semi-finals,Durban Stadium,Durban ,60960,Germany,0,1,Spain, ,0,0,GER,ESP
2010,South Africa,Group B,Durban Stadium,Durban ,61874,Nigeria,2,2,Korea Republic, ,1,1,NGA,KOR
2010,South Africa,Round of 16,Durban Stadium,Durban ,61962,Netherlands,2,1,Slovakia, ,1,0,NED,SVK
2010,South Africa,Group E,Durban Stadium,Durban ,62010,Netherlands,1,0,Japan, ,0,0,NED,JPN
2010,South Africa,Group H,Durban Stadium,Durban ,62453,Spain,0,1,Switzerland, ,0,0,ESP,SUI
2010,South Africa,Semi-finals,Cape Town Stadium,Cape Town ,62479,Uruguay,2,3,Netherlands, ,1,1,URU,NED
2010,South Africa,Group D,Durban Stadium,Durban ,62660,Germany,4,0,Australia, ,2,0,GER,AUS
2010,South Africa,Group G,Durban Stadium,Durban ,62712,Portugal,0,0,Brazil, ,0,0,POR,BRA
2010,South Africa,Group F,Cape Town Stadium,Cape Town ,62869,Italy,1,1,Paraguay, ,0,1,ITA,PAR
2010,South Africa,Round of 16,Cape Town Stadium,Cape Town ,62955,Spain,1,0,Portugal, ,0,0,ESP,POR
2010,South Africa,Group E,Cape Town Stadium,Cape Town ,63093,Cameroon,1,2,Netherlands, ,0,1,CMR,NED
2010,South Africa,Group G,Cape Town Stadium,Cape Town ,63644,Portugal,7,0,Korea DPR, ,1,0,POR,PRK
2010,South Africa,Group A,Cape Town Stadium,Cape Town ,64100,Uruguay,0,0,France, ,0,0,URU,FRA
2010,South Africa,Group C,Cape Town Stadium,Cape Town ,64100,England,0,0,Algeria, ,0,0,ENG,ALG
2010,South Africa,Quarter-finals,Cape Town Stadium,Cape Town ,64100,Argentina,0,4,Germany, ,0,1,ARG,GER
2010,South Africa,Group B,Soccer City Stadium,Johannesburg ,82174,Argentina,4,1,Korea Republic, ,2,1,ARG,KOR
2010,South Africa,Group D,Soccer City Stadium,Johannesburg ,83391,Ghana,0,1,Germany, ,0,0,GHA,GER
2010,South Africa,Group E,Soccer City Stadium,Johannesburg ,83465,Netherlands,2,0,Denmark, ,0,0,NED,DEN
2010,South Africa,Quarter-finals,Soccer City Stadium,Johannesburg ,84017,Uruguay,1,1,Ghana,HWP,0,0,URU,GHA
2010,South Africa,Round of 16,Soccer City Stadium,Johannesburg ,84377,Argentina,3,1,Mexico, ,2,0,ARG,MEX
2010,South Africa,Group G,Soccer City Stadium,Johannesburg ,84455,Brazil,3,1,Ivory Coast, ,1,0,BRA,CIV
2010,South Africa,Group A,Soccer City Stadium,Johannesburg ,84490,South Africa,1,1,Mexico, ,0,0,RSA,MEX
2010,South Africa,Final,Soccer City Stadium,Johannesburg ,84490,Netherlands,0,1,Spain,ET,0,0,NED,ESP
2014,Brazil,Group H,Arena Pantanal,Cuiaba ,37603,Russia,1,1,Korea Republic, ,0,0,RUS,KOR
2014,Brazil,Group F,Arena da Baixada,Curitiba ,39081,IR Iran,0,0,Nigeria, ,0,0,IRN,NGA
2014,Brazil,Group A,Estadio das Dunas,Natal ,39216,Mexico,1,0,Cameroon, ,0,0,MEX,CMR
2014,Brazil,Group E,Arena da Baixada,Curitiba ,39224,Honduras,1,2,Ecuador, ,1,1,HON,ECU
2014,Brazil,Group H,Arena da Baixada,Curitiba ,39311,Algeria,1,1,Russia, ,0,1,ALG,RUS
2014,Brazil,Group B,Arena da Baixada,Curitiba ,39375,Australia,0,3,Spain, ,0,1,AUS,ESP
2014,Brazil,Group C,Estadio das Dunas,Natal ,39485,Japan,0,0,Greece, ,0,0,JPN,GRE
2014,Brazil,Group D,Estadio das Dunas,Natal ,39706,Italy,0,1,Uruguay, ,0,0,ITA,URU
2014,Brazil,Group G,Estadio das Dunas,Natal ,39760,Ghana,1,2,USA, ,0,1,GHA,USA
2014,Brazil,Group D,Arena Amazonia,Manaus ,39800,England,1,2,Italy, ,1,1,ENG,ITA
2014,Brazil,Group A,Arena Amazonia,Manaus ,39982,Cameroon,0,4,Croatia, ,0,1,CMR,CRO
2014,Brazil,Group G,Arena Amazonia,Manaus ,40123,USA,2,2,Portugal, ,0,1,USA,POR
2014,Brazil,Group C,Arena Pernambuco,Recife ,40267,Ivory Coast,2,1,Japan, ,0,1,CIV,JPN
2014,Brazil,Group B,Arena Pantanal,Cuiaba ,40275,Chile,3,1,Australia, ,2,1,CHI,AUS
2014,Brazil,Group D,Arena Pernambuco,Recife ,40285,Italy,0,1,Costa Rica, ,0,1,ITA,CRC
2014,Brazil,Group E,Arena Amazonia,Manaus ,40322,Honduras,0,3,Switzerland, ,0,2,HON,SUI
2014,Brazil,Group C,Arena Pantanal,Cuiaba ,40340,Japan,1,4,Colombia, ,1,1,JPN,COL
2014,Brazil,Group F,Arena Pantanal,Cuiaba ,40499,Nigeria,1,0,Bosnia and Herzegovina, ,1,0,NGA,BIH
2014,Brazil,Group A,Arena Pernambuco,Recife ,41212,Croatia,1,3,Mexico, ,0,0,CRO,MEX
2014,Brazil,Round of 16,Arena Pernambuco,Recife ,41242,Costa Rica,1,1,Greece,HWP,0,0,CRC,GRE
2014,Brazil,Group G,Arena Pernambuco,Recife ,41876,USA,0,1,Germany, ,0,0,USA,GER
2014,Brazil,Group H,Estadio Beira-Rio,Porto Alegre ,42732,Korea Republic,2,4,Algeria, ,0,3,KOR,ALG
2014,Brazil,Group B,Estadio Beira-Rio,Porto Alegre ,42877,Australia,2,3,Netherlands, ,1,1,AUS,NED
2014,Brazil,Group E,Estadio Beira-Rio,Porto Alegre ,43012,France,3,0,Honduras, ,1,0,FRA,HON
2014,Brazil,Group F,Estadio Beira-Rio,Porto Alegre ,43285,Nigeria,2,3,Argentina, ,1,2,NGA,ARG
2014,Brazil,Group F,Arena Fonte Nova,Salvador ,48011,Bosnia and Herzegovina,3,1,IR Iran, ,1,0,BIH,IRN
2014,Brazil,Group B,Arena Fonte Nova,Salvador ,48173,Spain,1,5,Netherlands, ,1,1,ESP,NED
2014,Brazil,Group E,Arena Fonte Nova,Salvador ,51003,Switzerland,2,5,France, ,0,3,SUI,FRA
2014,Brazil,Group G,Arena Fonte Nova,Salvador ,51081,Germany,4,0,Portugal, ,3,0,GER,POR
2014,Brazil,Quarter-finals,Arena Fonte Nova,Salvador ,51179,Netherlands,0,0,Costa Rica,HWP,0,0,NED,CRC
2014,Brazil,Round of 16,Arena Fonte Nova,Salvador ,51227,Belgium,2,1,USA,ET,0,0,BEL,USA
2014,Brazil,Round of 16,Estadio Beira-Rio,Porto Alegre ,56789,Germany,2,1,Algeria,ET,0,0,GER,ALG
2014,Brazil,Group H,Estadio Mineirao,Belo Horizonte ,56800,Belgium,2,1,Algeria, ,0,1,BEL,ALG
2014,Brazil,Group C,Estadio Mineirao,Belo Horizonte ,57174,Colombia,3,0,Greece, ,1,0,COL,GRE
2014,Brazil,Group F,Estadio Mineirao,Belo Horizonte ,57698,Argentina,1,0,IR Iran, ,0,0,ARG,IRN
2014,Brazil,Round of 16,Estadio Mineirao,Belo Horizonte ,57714,Brazil,1,1,Chile,HWP,0,0,BRA,CHI
2014,Brazil,Group D,Estadio Mineirao,Belo Horizonte ,57823,Costa Rica,0,0,England, ,0,0,CRC,ENG
2014,Brazil,Semi-finals,Estadio Mineirao,Belo Horizonte ,58141,Brazil,1,7,Germany, ,0,5,BRA,GER
2014,Brazil,Group D,Estadio Castelao,Fortaleza ,58679,Uruguay,1,3,Costa Rica, ,1,0,URU,CRC
2014,Brazil,Round of 16,Estadio Castelao,Fortaleza ,58817,Netherlands,2,1,Mexico, ,0,0,NED,MEX
2014,Brazil,Group C,Estadio Castelao,Fortaleza ,59095,Greece,2,1,Ivory Coast, ,1,0,GRE,CIV
2014,Brazil,Group G,Estadio Castelao,Fortaleza ,59621,Germany,2,2,Ghana, ,0,0,GER,GHA
2014,Brazil,Group A,Estadio Castelao,Fortaleza ,60342,Brazil,0,0,Mexico, ,0,0,BRA,MEX
2014,Brazil,Quarter-finals,Estadio Castelao,Fortaleza ,60342,Brazil,2,1,Colombia, ,1,0,BRA,COL
2014,Brazil,Group H,Arena de Sao Paulo,Sao Paulo ,61397,Korea Republic,0,1,Belgium, ,0,0,KOR,BEL
2014,Brazil,Group A,Arena de Sao Paulo,Sao Paulo ,62103,Brazil,3,1,Croatia, ,1,1,BRA,CRO
2014,Brazil,Group D,Arena de Sao Paulo,Sao Paulo ,62575,Uruguay,2,1,England, ,1,0,URU,ENG
2014,Brazil,Group B,Arena de Sao Paulo,Sao Paulo ,62996,Netherlands,2,0,Chile, ,0,0,NED,CHI
2014,Brazil,Round of 16,Arena de Sao Paulo,Sao Paulo ,63255,Argentina,1,0,Switzerland,ET,0,0,ARG,SUI
2014,Brazil,Semi-finals,Arena de Sao Paulo,Sao Paulo ,63267,Netherlands,0,0,Argentina,AWP,0,0,NED,ARG
2014,Brazil,Round of 16,Estadio Beira-Rio,Porto Alegre ,65899,Germany,2,1,Algeria,ET,0,0,GER,ALG
2014,Brazil,Group G,Estadio Nacional,Brasilia ,67540,Portugal,2,1,Ghana, ,1,0,POR,GHA
2014,Brazil,Round of 16,Estadio Nacional,Brasilia ,67882,France,2,0,Nigeria, ,0,0,FRA,NGA
2014,Brazil,Play-off for third place,Estadio Nacional,Brasilia ,68034,Brazil,0,3,Netherlands, ,0,2,BRA,NED
2014,Brazil,Group E,Estadio Nacional,Brasilia ,68351,Switzerland,2,1,Ecuador, ,0,1,SUI,ECU
2014,Brazil,Quarter-finals,Estadio Nacional,Brasilia ,68551,Argentina,1,0,Belgium, ,1,0,ARG,BEL
2014,Brazil,Group C,Estadio Nacional,Brasilia ,68748,Colombia,2,1,Ivory Coast, ,0,0,COL,CIV
2014,Brazil,Group A,Estadio Nacional,Brasilia ,69112,Cameroon,1,4,Brazil, ,1,2,CMR,BRA
2014,Brazil,Group E,Estadio do Maracana,Rio De Janeiro ,73749,Ecuador,0,0,France, ,0,0,ECU,FRA
2014,Brazil,Round of 16,Estadio do Maracana,Rio De Janeiro ,73804,Colombia,2,0,Uruguay, ,1,0,COL,URU
2014,Brazil,Group H,Estadio do Maracana,Rio De Janeiro ,73819,Belgium,1,0,Russia, ,0,0,BEL,RUS
2014,Brazil,Group B,Estadio do Maracana,Rio De Janeiro ,74101,Spain,0,2,Chile, ,0,2,ESP,CHI
2014,Brazil,Quarter-finals,Estadio do Maracana,Rio De Janeiro ,74240,France,0,1,Germany, ,0,1,FRA,GER
2014,Brazil,Group F,Estadio do Maracana,Rio De Janeiro ,74738,Argentina,2,1,Bosnia and Herzegovina, ,1,0,ARG,BIH
2014,Brazil,Final,Estadio do Maracana,Rio De Janeiro ,74738,Germany,1,0,Argentina,ET,0,0,GER,ARG
